id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
28172,BUY,MPC,OKAR/B,43.3,43.01,43.52,50,172,03/01/2017,09:53:00,23.40755,NULL,2017-01-03T09:54:00.000Z,7447.6,1861.9,NULL,43.13,44.37,NULL,P,43.3,0,"{""3-bars"": -0.002, ""5-bars"": -0.001, ""7-bars"": -0.002}",2017-01-03T10:07:00.000Z,36:28.9
28173,BUY,MPC,HUMMER,43.95,43.67,44.16,50,179,03/01/2017,10:37:00,23.40755,NULL,2017-01-03T10:38:00.000Z,7867.05,1966.763,NULL,43.66,44.08,NULL,L,43.95,0,"{""3-bars"": -0.0, ""5-bars"": -0.005, ""7-bars"": -0.007}",2017-01-03T10:47:00.000Z,36:28.9
28174,BUY,MPC,HUMMER,43.88,43.63,44.06,50,200,03/01/2017,10:42:00,23.40755,NULL,2017-01-03T10:43:00.000Z,8776,2194,NULL,43.87,44.08,NULL,P,43.88,0,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.002}",2017-01-03T10:43:00.000Z,36:28.9
28175,BUY,MPC,OKAR/B,43.54,43.33,43.68,50,238,03/01/2017,11:45:00,23.40755,NULL,2017-01-03T11:46:00.000Z,10362.52,2590.63,NULL,43.28,43.6,NULL,L,43.54,0,"{""3-bars"": 0.001, ""5-bars"": 0.001, ""7-bars"": -0.0}",2017-01-03T12:03:00.000Z,36:28.9
28176,BUY,MPC,HUMMER,43.15,43,43.23,50,333,03/01/2017,13:49:00,38.7434,NULL,2017-01-03T13:51:00.000Z,14368.95,3592.237,NULL,42.94,43.26,NULL,L,43.15,0,"{""3-bars"": -0.002, ""5-bars"": -0.002, ""7-bars"": -0.002}",2017-01-03T14:19:00.000Z,36:28.9
28177,BUY,MPC,OKAR/B,43.06,42.92,43.13,50,357,03/01/2017,14:35:00,38.7434,NULL,2017-01-03T14:37:00.000Z,15372.42,3843.105,NULL,43.04,43.26,NULL,P,43.06,0,"{""3-bars"": 0.001, ""5-bars"": -0.001, ""7-bars"": -0.001}",2017-01-03T14:41:00.000Z,36:28.9
28178,SELL,GPS,OKAR/S,19.41,19.83,19.06,50,119,05/01/2017,09:38:00,40.87255,NULL,NULL,2309.79,577.448,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": -0.011, ""7-bars"": -0.005}",2017-01-05T09:42:00.000Z,36:29.6
28179,SELL,M,OKAR/S,24.15,24.34,24.03,50,263,05/01/2017,09:56:00,7.53986,NULL,NULL,6351.45,1587.863,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.001, ""5-bars"": 0.003, ""7-bars"": -0.0}",2017-01-05T10:00:00.000Z,36:29.6
28180,SELL,GPS,SHOOTING-STAR,19.76,19.9,19.69,50,357,05/01/2017,10:07:00,68.97059,NULL,2017-01-05T10:08:00.000Z,7054.32,1763.58,19.77,NULL,NULL,19.24,P,19.76,0,"{""3-bars"": -0.002, ""5-bars"": -0.001, ""7-bars"": 0.002}",2017-01-05T10:08:00.000Z,36:29.6
28181,SELL,GPS,SHOOTING-STAR,19.66,19.8,19.59,50,357,05/01/2017,10:12:00,68.97059,NULL,2017-01-05T10:13:00.000Z,7018.62,1754.655,19.71,NULL,NULL,19.24,P,19.66,0,"{""3-bars"": -0.002, ""5-bars"": 0.005, ""7-bars"": 0.004}",2017-01-05T10:19:00.000Z,36:29.6
28182,SELL,M,OKAR/S,23.86,23.97,23.82,50,455,05/01/2017,11:00:00,7.53986,NULL,2017-01-05T11:01:00.000Z,10856.3,2714.075,23.88,NULL,NULL,23.7,P,23.86,0,"{""3-bars"": -0.004, ""5-bars"": -0.004, ""7-bars"": -0.001}",2017-01-05T11:02:00.000Z,36:29.6
28183,SELL,M,SHOOTING-STAR,23.83,23.95,23.78,50,417,05/01/2017,11:08:00,7.53986,NULL,2017-01-05T11:11:00.000Z,9937.11,2484.277,23.91,NULL,NULL,23.7,P,23.83,0,"{""3-bars"": -0.001, ""5-bars"": -0.0, ""7-bars"": 0.0}",2017-01-05T11:20:00.000Z,36:29.6
